cpv_supp_id;cpv_order;cpv_name_bg;cpv_name_cs;cpv_name_da;cpv_name_de;cpv_name_el;cpv_name_en;cpv_name_es;cpv_name_et;cpv_name_fi;cpv_name_fr;cpv_name_ga;cpv_name_hr;cpv_name_hu;cpv_name_it;cpv_name_lt;cpv_name_lv;cpv_name_mt;cpv_name_nl;cpv_name_pl;cpv_name_pt;cpv_name_ro;cpv_name_sk;cpv_name_sl;cpv_name_sv
"AA30-8";"30";"Индий";"Indium";"Indium";"Indium";"Ίνδιο";"Indium";"Indio";"Indium";"Indium";"Indium";"Indium";"Indij";"Indium";"Indio";"Indis";"Indijs";"Indju";"Indium";"Ind";"Índio";"Indiu";"Indium";"Indij";"Indium"
"AA31-1";"31";"Талий";"Thallium";"Thallium";"Thallium";"Θάλλιο";"Thallium";"Talio";"Tallium";"Tallium";"Thallium";"Thallium";"Talij";"Tallium";"Tallio";"Talis";"Tallijs";"Tallju";"Thallium";"Tal";"Tálio";"Taliu";"Tálium";"Talij";"Tallium"
"AA32-4";"32";"Барий";"Baryum";"Barium";"Barium";"Βάριο";"Barium";"Bario";"Baarium";"Barium";"Barium";"Barium";"Barij";"Bárium";"Bario";"Baris";"Bārijs";"Barju";"Barium";"Bar";"Bário";"Bariu";"Bárium";"Barij";"Barium"
"AA33-7";"33";"Цезий";"Cesium";"Cæsium";"Caesium";"Καίσιο";"Caesium";"Cesio";"Tseesium";"Cesium";"Césium";"Caesium";"Cezij";"Cézium";"Cesio";"Cezis";"Cēzijs";"Ċeżju";"Cesium";"Cez";"Césio";"Cesiu";"Cézium";"Cezij";"Cesium"
"AA34-0";"34";"Стронций";"Stroncium";"Strontium";"Strontium";"Στρόντιο";"Strontium";"Estroncio";"Strontsium";"Strontium";"Strontium";"Strontium";"Stroncij";"Stroncium";"Stronzio";"Stroncis";"Stroncijs";"Stronzju";"Strontium";"Stront";"Estrôncio";"Stronţiu";"Stroncium";"Stroncij";"Strontium"
"AA35-3";"35";"Рубидий";"Rubidium";"Rubidium";"Rubidium";"Ρουβίδιο";"Rubidium";"Rubidio";"Rubiidium";"Rubidium";"Rubidium";"Rubidium";"Rubidij";"Rubídium";"Rubidio";"Rubidis";"Rubīdijs";"Rubidju";"Rubidium";"Rubid";"Rubídio";"Rubidiu";"Rubídium";"Rubidij";"Rubidium"
"AA36-6";"36";"Калций";"Vápník";"Calcium";"Calcium";"Ασβέστιο";"Calcium";"Calcio";"Kaltsium";"Kalsium";"Calcium";"Calcium";"Kalcij";"Kalcium";"Calcio";"Kalcis";"Kalcijs";"Kalċju";"Calcium";"Wapń";"Cálcio";"Calciu";"Vápnik";"Kalcij";"Kalcium"
"AA37-9";"37";"Калий";"Draslík";"Kalium";"Kalium";"Κάλιο";"Potassium";"Potasio";"Kaalium";"Kalium";"Potassium";"Potassium";"Kalij";"Kálium";"Potassio";"Kalis";"Kālijs";"Potassju";"Kalium";"Potas";"Potássio";"Potasiu";"Draslík";"Kalij";"Kalium"
"AA38-2";"38";"Натрий";"Sodík";"Natrium";"Natrium";"Νάτριο";"Sodium";"Sodio";"Naatrium";"Natrium";"Sodium";"Sodium";"Natrij";"Nátrium";"Sodio";"Natris";"Nātrijs";"Sodju";"Natrium";"Sód";"Sódio";"Sodiu";"Sodík";"Natrij";"Natrium"
"AA39-5";"39";"Литий";"Lithium";"Lithium";"Lithium";"Λίθιο";"Lithium";"Litio";"Liitium";"Litium";"Lithium";"Lithium";"Litij";"Lítium";"Litio";"Litis";"Litijs";"Litju";"Lithium";"Lit";"Lítio";"Litiu";"Lítium";"Litij";"Litium"
"AA40-8";"40";"Ниобий";"Niob";"Niobium";"Niob";"Νιόβιο";"Niobium";"Niobio";"Nioobium";"Niobium";"Niobium";"Niobium";"Niobij";"Nióbium";"Niobio";"Niobis";"Niobijs";"Njobju";"Niobium";"Niob";"Nióbio";"Niobiu";"Niób";"Niobij";"Niob"
"AA41-1";"41";"Осмий";"Osmium";"Osmium";"Osnium";"Όσμιο";"Osmium";"Osmio";"Osmium";"Osmium";"Osmium";"Osmium";"Osmij";"Ozmium";"Osmio";"Osmis";"Osmijs";"Ożmju";"Osmium";"Osm";"Ósmio";"Osmiu";"Osmium";"Osmij";"Osmium"
"AA42-4";"42";"Рений";"Rhenium";"Rhenium";"Rhenium";"Ρήνιο";"Rhenium";"Renio";"Reenium";"Renium";"Rhénium";"Rhenium";"Renij";"Rénium";"Renio";"Renis";"Rēnijs";"Rhenju";"Renium";"Ren";"Rénio";"Reniu";"Rénium";"Renij";"Rhenium"
"AA43-7";"43";"Паладий";"Palladium";"Palladium";"Palladium";"Παλλάδιο";"Palladium";"Paladio";"Pallaadium";"Palladium";"Palladium";"Palladium";"Paladij";"Palládium";"Palladio";"Paladis";"Pallādijs";"Palladju";"Palladium";"Pallad";"Paládio";"Paladiu";"Paládium";"Paladij";"Palladium"
"AA44-0";"44";"Месинг";"Mosaz";"Messing";"Messing";"Ορείχαλκος";"Brass";"Latón";"Messing";"Pronssi/messinki";"Laiton";"Brass";"Mjed";"Sárgaréz";"Ottone";"Žalvaris";"Misiņš";"Ram isfar (brass)";"Messing";"Mosiądz";"Latão";"Alamă";"Mosadz";"Medenina";"Mässing"
"AA45-3";"45";"Злато";"Zlato";"Guld";"Gold";"Χρυσός";"Gold";"Oro";"Kuld";"Kulta";"Or";"Gold";"Zlato";"Arany";"Oro";"Auksas";"Zelts";"Deheb";"Goud";"Złoto";"Ouro";"Aur";"Zlato";"Zlato";"Guld"
"AA46-6";"46";"Сребро";"Stříbro";"Sølv";"Silber";"Άργυρος";"Silver";"Plata";"Hõbe";"Hopea";"Argent";"Silver";"Srebro";"Ezüst";"Argento";"Sidabras";"Sudrabs";"Fidda";"Zilver";"Srebro";"Prata";"Argint";"Striebro";"Srebro";"Silver"
"AA47-9";"47";"Платина";"Platina";"Platin";"Platin";"Λευκόχρυσος";"Platinum";"Platino";"Plaatina";"Platina";"Platine";"Platinum";"Platina";"Platina";"Platino";"Platina";"Platīns";"Platinu";"Platina";"Platyna";"Platina";"Platină";"Platina";"Platina";"Platina"
"AA48-2";"48";"Магнезий";"Hořčík";"Magnesium";"Magnesium";"Μαγνήσιο";"Magnesium";"Magnesio";"Magneesium";"Magnesium";"Magnésium";"Magnesium";"Magnezij";"Magnézium";"Magnesio";"Magnis";"Magnijs";"Manjeżju";"Magnesium";"Magnez";"Magnésio";"Magneziu";"Horčík";"Magnezij";"Magnesium"
"AB02-5";"49";"Керамика";"Keramika";"Keramiske materialer";"Keramik";"Κεραμικό";"Ceramic";"Cerámica";"Keraamika";"Keramiikka/keraami";"Céramique";"Ceramic";"Keramika";"Kerámia";"Ceramica";"Keramika";"Keramika";"Ċeramika";"Keramiek";"Ceramika";"Cerâmica";"Ceramică";"Keramika";"Keramika";"Keramiska material"
"AB03-8";"50";"Порцелан";"Porcelán";"Porcelæn";"Porzellan oder Keramik";"Πορσελάνη ή φαγεντιανό κεραμικό";"Porcelain or china ceramic";"Porcelana o loza";"Fajanss või portselan";"Posliini";"Porcelaine ou faïence";"Porcelain or china ceramic";"Porculan ili porculanska keramika";"Porcelán vagy kínai porcelán";"Porcellana";"Porcelianas arba kiniškas porcelianas";"Porcelāns";"Porċellana jew kina";"Porselein";"Porcelana lub chińska porcelana";"Porcelana";"Porţelan";"Porcelán alebo čínska keramika";"Porcelan ali kitajski porcelan";"Porslin eller keramik"
"AB04-1";"51";"Глина";"Jíl";"Ler";"Ton";"Πηλός";"Clay";"Arcilla";"Savi";"Savi";"Argile";"Clay";"Glina";"Agyag";"Argilla";"Molis";"Māli";"Tafal";"Klei";"Glina";"Argila";"Argilă";"Íl";"Glina";"Lera"
"AB05-4";"52";"Бетон";"Beton";"Beton";"Beton";"Σκυρόδεμα";"Concrete";"Hormigón";"Betoon";"Betoni";"Béton";"Concrete";"Beton";"Beton";"Cemento";"Betonas";"Betons";"Konkrit";"Beton";"Beton";"Betão";"Beton";"Betón";"Beton";"Betong"
"AB06-7";"53";"Пластмаса";"Plasty";"Plast";"Kunststoff";"Πλαστικό";"Plastic";"Plástico";"Plast";"Muovi";"Plastique";"Plastic";"Plastika";"Műanyag";"Plastica";"Plastikas";"Plastmasa";"Plastik";"Kunststof";"Tworzywo sztuczne";"Plástico";"Plastic";"Plast";"Plastika";"Plast"
"AB07-0";"54";"Полиестер";"Polyester";"Polyester";"Polyester";"Πολυεστέρας";"Polyester";"Poliéster";"Polüester";"Polyesteri";"Polyester";"Polyester";"Poliester";"Poliészter";"Poliestere";"Poliesteris";"Poliesteris";"Polijester";"Polyester";"Poliester";"Poliéster";"Poliester";"Polyester";"Poliester";"Polyester"
"AB08-3";"55";"Полиетен (полиетилен)";"Polyethylen (polyten)";"Polyten (polyethylen)";"Polyethylen";"Πολυαιθυλένιο";"Polyethene (Polyethylene)";"Polieteno (Polietileno)";"Polüeteen (polüetüleen)";"Polyetyleeni (polyeteeni)";"Polyéthène (polyéthylène)";"Polyethene (Polyethylene)";"Polietilen";"Polietén (polietilén)";"Polietene (Polietilene)";"Polietenas (polietilenas)";"Polietilēns (polietilēns)";"Politene (polijetilene)";"Polyetheen (Polyethyleen)";"Polietylen (polieten)";"Polieteno (polietileno)";"Polietenă (Polietilenă)";"Polytén (polyetylén)";"Polietilen";"Polyeten"
"AB09-6";"56";"Полистирол";"Polystyren";"Polystyren";"Polystyren";"Πολυστυρένιο";"Polystyrene";"Poliestireno";"Polüstüreen";"Polystyreeni";"Polystyrène";"Polystyrene";"Polistiren";"Polisztirol";"Polistirene";"Polistirenas";"Polistirols";"Polistirene";"Polystyreen";"Polistyren";"Poliestireno";"Polistiren";"Polystyrén";"Polistiren";"Polystyren"
"AB11-2";"57";"PVC";"Polymery vinylchloridu (PVC)";"Pvc";"PVC";"Χλωριούχο πολυβινύλιο";"PVC";"PVC";"Polüvinüülkloriid";"PVC";"PVC";"PVC";"PVC";"PVC";"PVC";"Polivinilchloridas";"PVC";"PVC";"PVC";"PCV";"PVC";"PVC";"PVC";"PVC";"PVC"
"AB12-5";"58";"Каучук";"Guma";"Gummi";"Gummi";"Καουτσούκ";"Rubber";"Caucho";"Kautšuk";"Kumi";"Caoutchouc";"Rubber";"Kaučuk";"Gumi";"Gomma";"Kaučiukas";"Gumija";"Gomma";"Rubber";"Guma";"Borracha";"Cauciuc";"Kaučuk";"Kavčuk";"Gummi"
"AB13-8";"59";"Дърво";"Dřevo";"Træ";"Holz";"Ξύλινο";"Wooden";"De madera";"Puit";"Puu";"Bois";"Wooden";"Drvo";"Fa";"Legno";"Medis";"Koka";"Ta' l-injam";"Hout";"Drewniane";"De madeira";"Lemn";"Drevo";"Les";"Trä"
"AB14-1";"60";"Иглолистно дърво";"Jehličnaté dřevo";"Nåletræ";"Nadelholz";"Ξύλο κωνοφόρων";"Coniferous wood";"Madera de coníferas";"Okaspuit";"Havupuu";"Bois de conifère";"Coniferous wood";"Crnogorično drvo";"Tűlevelű fa";"Legno di conifere";"Spygliuočių mediena";"Skujkoku koksne";"Injam koniferu";"Naaldhout";"Drewno drzew iglastych";"Madeira de conífera";"Lemn de conifere";"Ihličnaté drevo";"Les iglavcev";"Barrträ"
"AB15-4";"61";"Тропическо дърво";"Tropické dřevo";"Tropisk træ";"Tropenholz";"Τροπική ξυλεία";"Tropical wood";"Madera tropical";"Troopiline puit";"Trooppinen puu";"Bois tropical";"Tropical wood";"Tropsko drvo";"Trópusi fa";"Legno tropicale";"Atogrąžų mediena";"Tropu koku koksne";"Injam tropikali";"Tropisch hout";"Drewno z drzew tropikalnych";"Madeira tropical";"Lemn tropical";"Tropické drevo";"Tropski les";"Tropiska träslag"
"AB16-7";"62";"Бамбук";"Bambus";"Bambus";"Bambus";"Μπαμπού";"Bamboo";"Bambú";"Bambus";"Bambu";"Bambou";"Bamboo";"Bambus";"Bambusz";"Bambù";"Bambukas";"Bambuss";"Bambù";"Bamboe";"Bambus";"Bambu";"Bambus";"Bambus";"Bambus";"Bambu"
"AB17-0";"63";"Корк";"Korek";"Kork";"Kork";"Φελλός";"Cork";"Corcho";"Kork";"Korkki";"Liège";"Cork";"Pluto";"Parafa";"Sughero";"Kamštiena";"Korķis";"Sufra";"Kurk";"Korek";"Cortiça";"Plută";"Korok";"Pluta";"Kork"
"AB18-3";"64";"Хартия";"Papír";"Papir";"Papier";"Χαρτί";"Paper";"Papel";"Paber";"Paperi";"Papier";"Paper";"Papir";"Papír";"Carta";"Popierius";"Papīrs";"Karta";"Papier";"Papier";"Papel";"Hârtie";"Papier";"Papir";"Papper"
"AB19-6";"65";"Кожа";"Usně/kůže";"Læder";"Leder";"Δέρμα";"Leather";"Cuero";"Nahk";"Nahka";"Cuir";"Leather";"Koža";"Bőr";"Cuoio";"Oda";"Āda";"Ġilda";"Leder";"Skóra";"Couro";"Piele";"Koža/useň";"Usnje";"Läder"
"AB20-9";"66";"Стъклено влакно";"Skleněná vlákna";"Fiberglas";"Glasfasern";"Υαλόνημα";"Fibreglass";"Fibra de vidrio";"Klaaskiud";"Lasikuitu";"Fibre de verre";"Fibreglass";"Fiberglas";"Üvegszál";"Fibra di vetro";"Stiklo pluoštas";"Stiklšķiedra";"Fibreglass";"Glasvezel";"Włókno szklane";"Fibra de vidro";"Fibre de sticlă";"Sklené vlákno";"Steklena vlakna";"Glasfibrer"
"AB21-2";"67";"Стъкло";"Sklo";"Glas";"Glas";"Γυαλί";"Glass";"Vidrio";"Klaas";"Lasi";"Verre";"Glass";"Staklo";"Üveg";"Vetro";"Stiklas";"Stikls";"Ħġieġ";"Glas";"Szkło";"Vidro";"Sticlă";"Sklo";"Steklo";"Glas"
"AB22-5";"68";"Стъклени вътрешни прегради";"Skleněné vložky";"Glasindsatser";"Glaseinsätze";"Φύσιγγες από γυαλί";"Glass inners";"Ampollas de vidrio";"Klaassisekestad";"Lasiset sisäosat";"Parties intérieures en verre";"Glass inners";"Stakleni ulošci";"Üvegbetét";"Componenti di vetro";"Stiklinės kolbos";"Stikla iekšējās daļas";"Ġewwieni tal-ħġieġ għal";"Glazen binnenflessen";"Szklane wkłady";"Ampolas de vidro";"Pereţi interiori din sticlă";"Sklené výplne";"Stekleni vložki";"Innerhöljen av glas"
"AB23-8";"69";"Стъклени части";"Skleněné části";"Glasdele";"Glasteile";"Γυάλινα εξαρτήματα";"Glass parts";"Partes de vidrio";"Klaasosad";"Lasiosat";"Pièces en verre";"Glass parts";"Stakleni dijelovi";"Üvegrészek";"Parti in vetro";"Stiklinės dalys";"Stikla daļas";"Partijiet tal-ħġieġ għal";"Glazen onderdelen";"Szklane części";"Peças de vidro";"Piese din sticlă";"Sklené časti";"Stekleni deli";"Glasdelar"
"AB24-1";"70";"Текстил";"Textilie";"Tekstil";"Textilien";"Ύφασμα";"Textile";"Textil";"Tekstiil";"Tekstiili";"Textile";"Textile";"Tekstil";"Textil";"Tessile";"Tekstilė";"Tekstils";"Tessuti";"Textiel";"Włókiennicze";"Têxtil";"Textil";"Textil";"Tekstil";"Textilier"
"AB25-4";"71";"Синтетика";"Syntetická vlákna";"Syntetisk";"Synthetik";"Συνθετικό";"Synthetic";"Sintético";"Sünteetiline";"Synteettinen";"Synthétique";"Synthetic";"Sintetika";"Szintetikus";"Sintetico";"Sintetika";"Sintētisks";"Sintetiċi";"Synthetisch";"Syntetyczne";"Sintético";"Sintetic";"Syntetická látka";"Sintetika";"Syntetisk"
"AB26-7";"72";"Дървен материал за строителството";"Užitkové dřevo";"Tømmer";"Bauholz";"Ξυλεία";"Timber";"Madera";"Tarbepuit";"Puutavara";"Bois de construction";"Timber";"Građevno drvo";"Épületfa";"Legname da costruzione";"Statybinė mediena";"Kokmateriāli";"Injam";"Timmerhout";"Drewno cięte";"Madeira";"Cherestea";"Úžitkové drevo";"Gradbeni les";"Virke"
"AB27-0";"73";"Камък";"Kámen";"Sten";"Stein";"Πέτρα";"Stone";"Piedra";"Kivi";"Kivi";"Pierre";"Stone";"Kamen";"Kő";"Pietra";"Akmuo";"Akmens";"Ġebel";"Steen";"Kamień";"Pedra";"Piatră";"Kameň";"Naravni kamen";"Sten"
"AB28-3";"74";"Мрамор";"Mramor";"Marmor";"Marmor";"Μάρμαρο";"Marble";"Mármol";"Marmor";"Marmori";"Marbre";"Marble";"Mramor";"Márvány";"Marmo";"Marmuras";"Marmors";"Irħam";"Marmer";"Marmur";"Mármore";"Marmură";"Mramor";"Marmor";"Marmor"
"AB29-6";"75";"Скъпоценни камъни";"Drahokamy";"Ædelsten";"Edelsteine";"Πολύτιμες πέτρες";"Precious stones";"Piedras preciosas";"Vääriskivid";"Jalokivet";"Pierres précieuses";"Precious stones";"Drago kamenje";"Drágakő";"Pietre preziose";"Brangakmeniai";"Dārgakmeņi";"Ħaġar prezzjuż";"Edelstenen";"Kamienie szlachetne";"Pedras preciosas";"Pietre preţioase";"Drahokamy";"Dragi kamni";"Ädelstenar"
"AB30-9";"76";"Вълна";"Vlna";"Uld";"Wolle";"Μαλλί";"Wool";"Lana";"Vill";"Villa";"Laine";"Wool";"Vuna";"Gyapjú";"Lana";"Vilna";"Vilna";"Suf";"Wol";"Wełna";"Lã";"Lână";"Vlna";"Volna";"Ull"
"AB31-2";"77";"Коприна";"Hedvábí";"Silke";"Seide";"Μετάξι";"Silk";"Seda";"Siid";"Silkki";"Soie";"Silk";"Svila";"Selyem";"Seta";"Šilkas";"Zīds";"Ħarir";"Zijde";"Jedwab";"Seda";"Mătase";"Hodváb";"Svila";"Silke"
